MESS_DATUM,Price,Remainder,Seasonal,Trend
2016-12-31 20:00:00+00:00,33.02,6.067110160017695,-7.554700838385492,-0.5424093216321967
2016-12-31 21:00:00+00:00,33.71,2.604879064635969,-1.3323206770258185,-0.5825583876101526
2016-12-31 22:00:00+00:00,27.95,1.332786147300995,-6.48212590093356,-0.6106602463674368
2016-12-31 23:00:00+00:00,20.96,-6.504034254037362,0.13316298651739542,-0.6191287324800323
2017-01-01 00:00:00+00:00,20.9,2.8489401554341782,-2.308239890701796,-0.6007002647323845
2017-01-01 01:00:00+00:00,18.13,-0.2936005054658031,-1.9229936320865846,-0.5534058624476119
2017-01-01 02:00:00+00:00,16.03,-1.2269906192648987,-0.39138527690628394,-0.48162410382881515
2017-01-01 03:00:00+00:00,16.43,-0.4640543933537306,1.2568615765240143,-0.3928071831702851
2017-01-01 04:00:00+00:00,13.75,-3.826889369273647,1.4381062544959793,-0.29121688522233163
2017-01-01 05:00:00+00:00,11.1,-8.412701092170238,5.942797431262479,-0.18009633909224118
2017-01-01 06:00:00+00:00,15.47,-8.173096746341711,12.608624542845673,-0.06552779650396039
2017-01-01 07:00:00+00:00,16.88,-2.084878694858071,3.447394931630919,0.047483763227150026
2017-01-01 08:00:00+00:00,21.81,3.41665109997589,1.3581507880884198,0.15519811193568986
2017-01-01 09:00:00+00:00,26.24,4.7479575519723625,-0.5745873386665475,0.25662978669418507
2017-01-01 10:00:00+00:00,26.42,0.02392420521959837,-0.19867318884027108,0.354748983620676
2017-01-01 11:00:00+00:00,27.66,3.5014820586329582,-2.716935372191259,0.4554533135582993
2017-01-01 12:00:00+00:00,28.7,1.297651959821801,-0.8224452505770855,0.5647932907552835
2017-01-01 13:00:00+00:00,29.66,-0.028928728699980977,0.3037854272728828,0.685143301427099
2017-01-01 14:00:00+00:00,35.33,2.879877240563906,1.9787806691992669,0.8113420902368248
2017-01-01 15:00:00+00:00,44.12,4.106172421692085,3.7500164255999824,0.9338111527079321
2017-01-01 16:00:00+00:00,51.59,-1.6687548523138416,8.095145365844102,1.0436094864697454
2017-01-01 17:00:00+00:00,53.95,3.7627057273528637,-2.5374413461892056,1.134735618836341
2017-01-01 18:00:00+00:00,50.97,1.1658418853237693,-5.350540548840133,1.2046986635163597
2017-01-01 19:00:00+00:00,44.93,0.8213273366672862,-8.109181061231435,1.2478537245641501
2017-01-01 20:00:00+00:00,38.83,0.27572029727621095,-7.636072557592086,1.2603522603158734
2017-01-01 21:00:00+00:00,42.17,3.4207998558699524,-1.3205477397430925,1.2397478838731437
2017-01-01 22:00:00+00:00,33.06,-3.7945700635273942,-6.500579384477473,1.1851494480048677
2017-01-01 23:00:00+00:00,30.54,-3.760447279637514,0.13914185834849493,1.1013054212890159
2017-01-02 00:00:00+00:00,28.91,-0.3196622717161297,-2.309098497860072,0.9987607695762026
2017-01-02 01:00:00+00:00,28.11,0.2363239771709621,-1.9197343979304402,0.8834104207594774
2017-01-02 02:00:00+00:00,27.89,-0.5769332575376087,-0.40431389192726813,0.7612471494648779
2017-01-02 03:00:00+00:00,27.73,-2.0286637432891244,1.2314425195295131,0.6372212237596112
2017-01-02 04:00:00+00:00,31.18,1.5098130192593133,1.423809485497396,0.51637749524329
2017-01-02 05:00:00+00:00,37.99,0.4162544737088654,5.984899744872807,0.40884578141832945
2017-01-02 06:00:00+00:00,50.98,-0.07754174606701991,12.74756153025104,0.31998021581597424
2017-01-02 07:00:00+00:00,53.88,-0.8232549776439568,3.472053368164676,0.25120160947928655
2017-01-02 08:00:00+00:00,53.94,-1.4997081151957365,1.3564423122718514,0.20326580292388025
2017-01-02 09:00:00+00:00,53.54,-0.023250156012724288,-0.5513294622502146,0.17457961826294033
2017-01-02 10:00:00+00:00,54.91,1.4241005772148374,-0.21679884189368345,0.16269826467884344
2017-01-02 11:00:00+00:00,54.08,1.7381335523698298,-2.7326493697547347,0.16451581738490664
2017-01-02 12:00:00+00:00,55.67,2.2811692073750884,-0.8663112472501209,0.17514203987503596
2017-01-02 13:00:00+00:00,55.98,-0.16654237362826116,0.28323942196964436,0.19330295165861197
2017-01-02 14:00:00+00:00,56.0,-2.1405767373386717,1.948330846960844,0.21224589037783068
2017-01-02 15:00:00+00:00,57.77,-2.209657032333532,3.7550301959114587,0.22462683642207606
2017-01-02 16:00:00+00:00,67.66,1.5407120374247592,8.125199939207112,0.22408802336812195
2017-01-02 17:00:00+00:00,55.1,-10.38025297071665,-2.387974502289243,0.20822747300589864
2017-01-02 18:00:00+00:00,53.92,4.066178097583482,-5.42296960491182,0.17679150732833876
2017-01-02 19:00:00+00:00,49.07,3.2066901838548145,-8.187724874091643,0.13103469023682704
2017-01-02 20:00:00+00:00,40.25,-1.1786669562220318,-7.712328482266199,0.07099543848823038
2017-01-02 21:00:00+00:00,45.92,6.9815034250661885,-1.3081798537157614,-0.0033235713504254326
2017-01-02 22:00:00+00:00,38.88,-0.43261662285844243,-6.517411535086123,-0.08997184205543367
2017-01-02 23:00:00+00:00,36.02,-2.815698450807624,0.14419801270586355,-0.18849956189823933
2017-01-03 00:00:00+00:00,34.98,1.567811736422327,-2.3089018568925024,-0.29890987952983095
2017-01-03 01:00:00+00:00,33.64,0.9934496290230633,-1.9157045715787715,-0.41774505744428814
2017-01-03 02:00:00+00:00,33.89,1.2013553220814335,-0.41651726969639646,-0.5348380523850369
2017-01-03 03:00:00+00:00,33.5,-0.9571281687740069,1.2056601439301036,-0.6385319751560973
2017-01-03 04:00:00+00:00,33.91,-0.27571082174412576,1.4108618803519308,-0.7251510586078085
2017-01-03 05:00:00+00:00,48.13,8.994611509294591,6.024994391048559,-0.7996059003431438
2017-01-03 06:00:00+00:00,54.61,-5.53045733082696,12.879592279575105,-0.8691349487481482
2017-01-03 07:00:00+00:00,57.93,0.7673763116684011,3.494369598112162,-0.9417459097805627
2017-01-03 08:00:00+00:00,57.18,-1.0784210434500592,1.352589881164254,-1.0241688377141949
2017-01-03 09:00:00+00:00,52.27,-3.261439863929475,-0.5296042621469291,-1.1189558739235927
2017-01-03 10:00:00+00:00,49.94,-0.8726718351520066,-0.23595854484674264,-1.2213696200012563
2017-01-03 11:00:00+00:00,46.3,0.42588705836335783,-2.7471767488528065,-1.318710309510552
