MESS_DATUM,wind,sun,cloudiness,air_temperature
2015-01-06 00:00:00,2.09580337244169,0.0,5.874728943200752,-2.5027343616039004
2015-01-06 01:00:00,1.8657018146340447,0.0,5.4901845715161794,-2.9074910748063902
2015-01-06 02:00:00,1.8265003681649319,0.0,4.995254093567038,-3.02846523128288
2015-01-06 03:00:00,1.8548237713012088,0.0,4.48013257027446,-3.279543201888016
2015-01-06 04:00:00,1.94399982325364,0.0,5.37481974766046,-3.760326564178984
2015-01-06 05:00:00,2.088736676714465,0.0,4.995425072381692,-3.4539782472675205
2015-01-06 06:00:00,1.3479801648980183,0.0,6.560143295077175,-4.060871239992763
2015-01-06 07:00:00,1.5084745586250043,0.0,5.1209932033232235,-3.94666677815857
2015-01-06 08:00:00,2.3565021517401643,15.01764273727899,6.351430260227067,-3.8722646433935983
2015-01-06 09:00:00,1.9190683283908845,36.514910181229645,4.5936857895085295,-1.8471538178972755
2015-01-06 10:00:00,1.8862359029907207,42.567572686900796,5.964275760707139,-0.18178877745558888
2015-01-06 11:00:00,1.961390684800252,56.19574746870062,3.081278661859563,1.1139530856555768
2015-01-06 12:00:00,2.0873017223609867,58.939579580059814,3.814615650149044,1.7949787055569508
2015-01-06 13:00:00,2.356041912596906,44.97344496510208,5.697732568030317,1.5862376477145297
2015-01-06 14:00:00,2.0760936184811407,17.029203800555095,6.664532367150729,1.1441553115811065
2015-01-06 15:00:00,2.364849640209665,7.7835998546961775,6.461408396773133,1.4435965867425071
2015-01-06 16:00:00,2.3522652920719502,0.5008544921875037,7.496039678065688,0.4580598609154791
2015-01-06 17:00:00,1.5457977045044158,0.0,6.998511570650432,-0.1914327981667701
2015-01-06 18:00:00,1.5728393727691885,0.0,5.499978290012053,-0.819410095680897
2015-01-06 19:00:00,2.421089296199284,0.0,7.249977393422884,-1.2355768602585089
2015-01-06 20:00:00,2.5967963847784232,0.0,5.749950605833132,-1.5813897212487968
2015-01-06 21:00:00,2.2130427999858644,0.0,7.2382236662932335,-2.004601022827287
2015-01-06 22:00:00,2.3295934439982178,0.0,7.249924538041912,-1.75327025424349
2015-01-06 23:00:00,2.3849517252886097,0.0,7.437499810089007,-2.0565511525142144
2015-01-07 00:00:00,2.0603931204727157,0.0,6.499914486466576,-1.8250629007748864
2015-01-07 01:00:00,2.7488791953444576,0.0,7.405558655809482,-1.3127857848306568
2015-01-07 02:00:00,2.4162011402362986,0.0,7.4998405831392,-0.6876607290830004
2015-01-07 03:00:00,2.7012883049450016,0.0,7.874865158956169,-0.49524523364470796
2015-01-07 04:00:00,2.33324287066271,0.0,7.9920794738895315,-0.3161883345225446
2015-01-07 05:00:00,2.2721523129847103,0.0,7.431128406861356,-0.017406791158838253
2015-01-07 06:00:00,2.4385930392057604,0.0,7.282473013719361,0.3172095854976852
2015-01-07 07:00:00,2.691703024692921,0.0,7.660113984934915,0.1815947217592635
2015-01-07 08:00:00,2.233605684280188,8.370040771588093e-17,7.054637103325133,0.2836115223349809
2015-01-07 09:00:00,1.816281474011337,3.4023895654841967,6.914266774763003,0.7117933531325857
2015-01-07 10:00:00,1.9128376660058781,7.500097804735137,6.9309107440462565,1.399873964633803
2015-01-07 11:00:00,1.8256006370727176,7.847803902975626,6.553675987762951,2.1474074162288828
2015-01-07 12:00:00,2.4028998345423456,10.906404173050033,6.616923480689902,2.7182764092152727
2015-01-07 13:00:00,2.5182223388857663,9.760287994402926,7.097829788245024,3.0287618699605514
2015-01-07 14:00:00,2.402529375488907,9.832396357753606,6.546270197161119,2.942794352107149
2015-01-07 15:00:00,2.072932715203176,11.375094707592215,5.674900752832557,2.309658088427417
